Complaint_No,Weapon_Type
20110105233005,"Blunt Object(club,hammer,etc)           "
20110106031502,"Personal Weapons (hands,feet,teeth,etc.)"
20110106041300,"Personal Weapons (hands,feet,teeth,etc.)"
20110106074603,"Personal Weapons (hands,feet,teeth,etc.)"
20110106082001,Not Applicable/None                     
20110106094905,"Personal Weapons (hands,feet,teeth,etc.)"
20110106100302,"Personal Weapons (hands,feet,teeth,etc.)"
20110106101704,"Personal Weapons (hands,feet,teeth,etc.)"
20110106110400,Handgun                                 
20110106114201,Knife                                   
20110106124704,"Personal Weapons (hands,feet,teeth,etc.)"
20110106133201,"Personal Weapons (hands,feet,teeth,etc.)"
20110106141603,"Personal Weapons (hands,feet,teeth,etc.)"
20110106142602,"Personal Weapons (hands,feet,teeth,etc.)"
20110106152106,Knife                                   
20110106154101,Other Weapon                            
20110106155200,"Personal Weapons (hands,feet,teeth,etc.)"
20110106171804,Handgun                                 
20110106180501,Razor                                   
20110106180504,"Personal Weapons (hands,feet,teeth,etc.)"
20110106182800,"Blunt Object(club,hammer,etc)           "
20110106183501,"Personal Weapons (hands,feet,teeth,etc.)"
20110106184403,"Personal Weapons (hands,feet,teeth,etc.)"
20110106193402,"Personal Weapons (hands,feet,teeth,etc.)"
20110106195000,"Personal Weapons (hands,feet,teeth,etc.)"
20110106195200,"Personal Weapons (hands,feet,teeth,etc.)"
20110106201302,Handgun                                 
20110106201302,Shotgun                                 
20110106211203,"Personal Weapons (hands,feet,teeth,etc.)"
20110106220506,"Personal Weapons (hands,feet,teeth,etc.)"
20110106220903,"Personal Weapons (hands,feet,teeth,etc.)"
20110106230002,Handgun                                 
20110107003706,"Blunt Object(club,hammer,etc)           "
20110107025303,"Personal Weapons (hands,feet,teeth,etc.)"
20110107030200,Knife                                   
20110107030200,"Personal Weapons (hands,feet,teeth,etc.)"
20110107031201,"Personal Weapons (hands,feet,teeth,etc.)"
20110107034002,"Personal Weapons (hands,feet,teeth,etc.)"
20110107055600,"Personal Weapons (hands,feet,teeth,etc.)"
20110107062700,"Personal Weapons (hands,feet,teeth,etc.)"
20110107063501,"Personal Weapons (hands,feet,teeth,etc.)"
20110107072902,Not Applicable/None                     
20110107082001,"Personal Weapons (hands,feet,teeth,etc.)"
20110107082200,Other Weapon                            
20110107084001,Knife                                   
20110107085402,"Personal Weapons (hands,feet,teeth,etc.)"
20110107085503,"Personal Weapons (hands,feet,teeth,etc.)"
20110107091200,Knife                                   
20110107105501,"Personal Weapons (hands,feet,teeth,etc.)"
20110107110401,"Personal Weapons (hands,feet,teeth,etc.)"
20110107112104,"Personal Weapons (hands,feet,teeth,etc.)"
20110107112703,Razor                                   
20110107121701,"Personal Weapons (hands,feet,teeth,etc.)"
20110107123100,"Personal Weapons (hands,feet,teeth,etc.)"
20110107123804,Not Applicable/None                     
20110107130400,"Personal Weapons (hands,feet,teeth,etc.)"
20110107133401,"Personal Weapons (hands,feet,teeth,etc.)"
20110107142102,Not Applicable/None                     
20110107161701,"Personal Weapons (hands,feet,teeth,etc.)"
20110107161800,"Personal Weapons (hands,feet,teeth,etc.)"
20110107180201,Handgun                                 
20110107201602,"Personal Weapons (hands,feet,teeth,etc.)"
20110107202804,Not Applicable/None                     
20110107204203,"Personal Weapons (hands,feet,teeth,etc.)"
20110107210807,"Personal Weapons (hands,feet,teeth,etc.)"
20110107212604,Other Weapon                            
20110107212604,"Personal Weapons (hands,feet,teeth,etc.)"
20110107214405,"Personal Weapons (hands,feet,teeth,etc.)"
20110107215405,Vehicle                                 
20110107215405,Other Weapon                            
20110107222001,"Personal Weapons (hands,feet,teeth,etc.)"
20110107232602,"Personal Weapons (hands,feet,teeth,etc.)"
20110108000401,Not Applicable/None                     
20110108001603,Other Weapon                            
20110108003103,Pounding Tool/Device                    
20110108004501,"Personal Weapons (hands,feet,teeth,etc.)"
20110108013901,Not Applicable/None                     
20110108013901,Other Weapon                            
20110108015001,Not Applicable/None                     
20110108015600,Other Weapon                            
20110108020601,Handgun                                 
20110108022100,Not Applicable/None                     
20110108022401,"Personal Weapons (hands,feet,teeth,etc.)"
20110108031800,"Personal Weapons (hands,feet,teeth,etc.)"
20110108032700,"Personal Weapons (hands,feet,teeth,etc.)"
20110108034003,"Personal Weapons (hands,feet,teeth,etc.)"
20110108070700,"Personal Weapons (hands,feet,teeth,etc.)"
20110108072400,Not Applicable/None                     
20110108080400,Shotgun                                 
20110108080600,"Personal Weapons (hands,feet,teeth,etc.)"
20110108081703,Not Applicable/None                     
20110108101701,"Personal Weapons (hands,feet,teeth,etc.)"
20110108103002,Vehicle                                 
20110108103002,Other Weapon                            
20110108114401,"Personal Weapons (hands,feet,teeth,etc.)"
20110108115300,"Personal Weapons (hands,feet,teeth,etc.)"
20110108123702,Handgun                                 
20110108125501,"Personal Weapons (hands,feet,teeth,etc.)"
20110108141902,"Personal Weapons (hands,feet,teeth,etc.)"
20110108144401,Shotgun                                 
20110108144403,"Personal Weapons (hands,feet,teeth,etc.)"
20110108154000,Not Applicable/None                     
20110108162302,Knife                                   
20110108164400,Unknown/Not Stated                      
20110108165804,"Personal Weapons (hands,feet,teeth,etc.)"
20110108171100,"Personal Weapons (hands,feet,teeth,etc.)"
20110108173800,"Personal Weapons (hands,feet,teeth,etc.)"
20110108183003,Knife                                   
20110108192600,Handgun                                 
20110108201701,Other Weapon                            
20110108203301,"Personal Weapons (hands,feet,teeth,etc.)"
20110108212008,"Personal Weapons (hands,feet,teeth,etc.)"
20110108212100,Other Weapon                            
20110108214302,"Personal Weapons (hands,feet,teeth,etc.)"
20110108221000,Handgun                                 
20110108221402,"Personal Weapons (hands,feet,teeth,etc.)"
20110108224101,"Personal Weapons (hands,feet,teeth,etc.)"
20110108224500,Handgun                                 
20110108235403,"Personal Weapons (hands,feet,teeth,etc.)"
20110109000403,"Personal Weapons (hands,feet,teeth,etc.)"
20110109001503,"Personal Weapons (hands,feet,teeth,etc.)"
20110109003300,"Personal Weapons (hands,feet,teeth,etc.)"
20110109005201,"Personal Weapons (hands,feet,teeth,etc.)"
20110109005301,"Personal Weapons (hands,feet,teeth,etc.)"
20110109005803,"Personal Weapons (hands,feet,teeth,etc.)"
20110109011600,"Blunt Object(club,hammer,etc)           "
20110109011603,"Personal Weapons (hands,feet,teeth,etc.)"
20110109013503,Undetermined Firearm                    
20110109014400,"Personal Weapons (hands,feet,teeth,etc.)"
20110109015302,"Personal Weapons (hands,feet,teeth,etc.)"
20110109021402,"Personal Weapons (hands,feet,teeth,etc.)"
20110109023802,"Personal Weapons (hands,feet,teeth,etc.)"
20110109030404,Handgun                                 
20110109031001,"Personal Weapons (hands,feet,teeth,etc.)"
20110109032603,"Personal Weapons (hands,feet,teeth,etc.)"
20110109032603,Other Weapon                            
20110109034100,"Personal Weapons (hands,feet,teeth,etc.)"
20110109043900,"Personal Weapons (hands,feet,teeth,etc.)"
20110109044000,"Personal Weapons (hands,feet,teeth,etc.)"
20110109044400,"Personal Weapons (hands,feet,teeth,etc.)"
20110109054500,"Personal Weapons (hands,feet,teeth,etc.)"
20110109065901,Knife                                   
20110109133301,"Gas/Air Powered Gun (BB, Pellet, etc.)  "
20110109133601,"Personal Weapons (hands,feet,teeth,etc.)"
20110109142700,"Personal Weapons (hands,feet,teeth,etc.)"
20110109143500,"Personal Weapons (hands,feet,teeth,etc.)"
20110109151700,"Personal Weapons (hands,feet,teeth,etc.)"
20110109153600,"Personal Weapons (hands,feet,teeth,etc.)"
20110109153600,Other Weapon                            
20110109154504,Knife                                   
20110109155702,"Blunt Object(club,hammer,etc)           "
20110109163103,Knife                                   
20110109172004,"Personal Weapons (hands,feet,teeth,etc.)"
20110109173101,Handgun                                 
20110109175902,"Personal Weapons (hands,feet,teeth,etc.)"
20110109180801,"Personal Weapons (hands,feet,teeth,etc.)"
20110109181800,Handgun                                 
20110109184800,"Personal Weapons (hands,feet,teeth,etc.)"
20110109192200,"Blunt Object(club,hammer,etc)           "
20110109202103,Handgun                                 
20110109202401,Handgun                                 
20110109224600,"Blunt Object(club,hammer,etc)           "
20110109224600,Handgun                                 
20110109232901,"Personal Weapons (hands,feet,teeth,etc.)"
20110110011503,"Personal Weapons (hands,feet,teeth,etc.)"
20110110025500,Not Applicable/None                     
20110110040700,"Personal Weapons (hands,feet,teeth,etc.)"
20110110095700,"Personal Weapons (hands,feet,teeth,etc.)"
20110110104700,Knife                                   
20110110104700,Unknown/Not Stated                      
20110110110100,"Personal Weapons (hands,feet,teeth,etc.)"
20110110121502,Handgun                                 
20110110122903,Handgun                                 
20110110124503,Handgun                                 
20110110132301,"Personal Weapons (hands,feet,teeth,etc.)"
20110110143901,"Personal Weapons (hands,feet,teeth,etc.)"
20110110143901,Handgun                                 
20110110150000,Handgun                                 
20110110155802,"Personal Weapons (hands,feet,teeth,etc.)"
20110110191100,Not Applicable/None                     
20110110193400,"Personal Weapons (hands,feet,teeth,etc.)"
20110110205900,"Personal Weapons (hands,feet,teeth,etc.)"
20110110213000,Not Applicable/None                     
20110110221101,"Personal Weapons (hands,feet,teeth,etc.)"
20110110224500,"Personal Weapons (hands,feet,teeth,etc.)"
20110110231100,"Personal Weapons (hands,feet,teeth,etc.)"
20110111073401,Handgun                                 
20110111082600,Knife                                   
20110111102202,Not Applicable/None                     
20110111105900,Not Applicable/None                     
20110111115001,Knife                                   
20110111123902,"Personal Weapons (hands,feet,teeth,etc.)"
20110111132002,"Personal Weapons (hands,feet,teeth,etc.)"
20110111140501,"Personal Weapons (hands,feet,teeth,etc.)"
20110111142200,"Personal Weapons (hands,feet,teeth,etc.)"
20110111142600,Shotgun                                 
20110111142600,"Personal Weapons (hands,feet,teeth,etc.)"
20110111153601,Not Applicable/None                     
20110111160600,Not Applicable/None                     
20110111161800,"Personal Weapons (hands,feet,teeth,etc.)"
20110111161800,Not Applicable/None                     
20110111165601,"Personal Weapons (hands,feet,teeth,etc.)"
