Street_Address,Zipcode,X_Coordinate,Y_Coordinate,NIBRS_Hi_Class,HighRisk
   IBM                                      DR,28262,1472036,568888,Motor Vehicle Theft,0
   YATESWOOD                                DR,28212,1482617,532597,Motor Vehicle Theft,0
   STARITA                                  RD,28206,1457895,558323,Motor Vehicle Theft,0
   ORCHARD TRACE                            LN,28213,1472088,562244,Motor Vehicle Theft,0
   ATANDO                                   AV,28206,1457027,554618,Motor Vehicle Theft,0
   CHRISTMAS                                CT,28216,1444779,591947,Motor Vehicle Theft,0
   JONES                                    ST,28208,1439397,552865,Motor Vehicle Theft,0
   LOUISE                                   AV,28204,1455934,540025,Motor Vehicle Theft,0
   SHANNONHOUSE                             DR,28215,1474122,550017,Motor Vehicle Theft,0
   FARMER                                   ST,28208,1433958,536241,Motor Vehicle Theft,0
   MCCLELLAND                               CT,28206,1456799,556202,Motor Vehicle Theft,0
   WELLING                                  AV,28208,1436406,554126,Motor Vehicle Theft,0
   SHANNONHOUSE DR                            ,28215,1474122,550017,Motor Vehicle Theft,0
E  TRADE                                    ST,28202,1450218,541731,Motor Vehicle Theft,0
   GERALDINE POWE                           DR,28206,1450533,550150,Motor Vehicle Theft,0
   ALBEMARLE                                RD,28212,1485648,533771,Motor Vehicle Theft,0
   SOUTH                                    BV,28273,1439590,507735,Motor Vehicle Theft,0
   MCARTHUR                                 AV,28206,1453026,555006,Motor Vehicle Theft,0
N  DAVIDSON                                 ST,28205,1458975,547778,Motor Vehicle Theft,0
   COLONY ACRES                             DR,28217,1432971,510732,Motor Vehicle Theft,0
   PANGLEMONT                               DR,28269,1455577,576187,Motor Vehicle Theft,0
   FREEDOM                                  DR,28208,1439640,545003,Motor Vehicle Theft,0
   SOUTH                                    BV,28273,1437085,499888,Motor Vehicle Theft,0
   QUINN                                    DR,28269,1455857,576541,Motor Vehicle Theft,0
   JENKINS                                  DR,28212,1479547,534250,Motor Vehicle Theft,0
   CRICKLEWOOD                              LN,28215,1479474,538500,Motor Vehicle Theft,0
   ENGLISH HILLS                            DR,28215,1482823,534580,Motor Vehicle Theft,0
   PROVIDENCE                               RD,28226,1468153,507335,Motor Vehicle Theft,0
